library,executionTime,memoryUsage,outputSize,compressionRatio,complexityScore,operationType,documentSize,iteration,timestamp,complexityRange,throughput,memoryKB,outputSizeKB
"schema-aggregated",2.0042499999999563,0,8097,7.616763087343023,9,"Toggle origin shield,Remove dependencies",106305,27,2025-06-28T19:19:32.591Z,"Low",498.94,0.00,7.91
"json-diff-kit",9.339083999999957,3428922,890725,837.8956775316308,9,"Toggle origin shield,Remove dependencies",106305,27,2025-06-28T19:19:32.591Z,"Low",107.08,3348.56,869.85
"schema-aggregated",2.985249999999951,0,3190,1.7243429658699012,12,"Change max instances,Add S3 bucket policy",184998,28,2025-06-28T19:19:32.591Z,"Low",334.98,0.00,3.12
"json-diff-kit",19.80441699999983,15488364,1555945,841.0604438966908,12,"Change max instances,Add S3 bucket policy",184998,28,2025-06-28T19:19:32.591Z,"Low",50.49,15125.36,1519.48
"schema-aggregated",1.2860840000000735,0,10905,17.940576467491447,12,"Remove environment variable,Add CI configuration",60784,29,2025-06-28T19:19:32.591Z,"Low",777.55,0.00,10.65
"json-diff-kit",3.159167000000025,0,510405,839.7028823374573,12,"Remove environment variable,Add CI configuration",60784,29,2025-06-28T19:19:32.591Z,"Low",316.54,0.00,498.44
"schema-aggregated",1.745665999999801,0,17185,19.72181736805261,19,"Add experimental features,Change storage size,Change min instances,Toggle privileged mode",87137,30,2025-06-28T19:19:32.591Z,"Low",572.85,0.00,16.78
"json-diff-kit",7.36583399999995,3135161,730912,838.8078542984036,19,"Add experimental features,Change storage size,Change min instances,Toggle privileged mode",87137,30,2025-06-28T19:19:32.591Z,"Low",135.76,3061.68,713.78
"schema-aggregated",0.47020900000006804,0,8175,52.88181641762081,11,"Add static site with SPA config,Change base path",15459,31,2025-06-28T19:19:32.591Z,"Low",2126.71,0.00,7.98
"json-diff-kit",0.7483750000001237,0,141021,912.2258878323306,11,"Add static site with SPA config,Change base path",15459,31,2025-06-28T19:19:32.591Z,"Low",1336.23,0.00,137.72
"schema-aggregated",2.858417000000145,0,3375,2.0230295691995996,9,"Change environment name,Modify autoscaling thresholds",166829,32,2025-06-28T19:19:32.591Z,"Low",349.84,0.00,3.30
"json-diff-kit",23.479667000000063,7491339,1399888,839.1155015015376,9,"Change environment name,Modify autoscaling thresholds",166829,32,2025-06-28T19:19:32.591Z,"Low",42.59,7315.76,1367.08
"schema-aggregated",0.5149999999998727,0,3210,14.80832218480417,0,"",21677,33,2025-06-28T19:19:32.591Z,"Low",1941.75,0.00,3.13
"json-diff-kit",0.833042000000205,0,180401,832.2230936015131,0,"",21677,33,2025-06-28T19:19:32.591Z,"Low",1200.42,0.00,176.17
"schema-aggregated",0.8262500000000728,0,9800,24.505513740591635,11,"Change PR source configuration,Change service memory",39991,34,2025-06-28T19:19:32.591Z,"Low",1210.29,0.00,9.57
"json-diff-kit",1.8064999999999145,0,338140,845.5402465554749,11,"Change PR source configuration,Change service memory",39991,34,2025-06-28T19:19:32.591Z,"Low",553.56,0.00,330.21
"schema-aggregated",1.022457999999915,0,20841,41.963153125943826,25,"Change storage size,Change service memory,Add single environment variable,Remove dependencies,Change build type,Toggle sticky sessions",49665,35,2025-06-28T19:19:32.591Z,"Low",978.04,0.00,20.35
"json-diff-kit",3.3928329999998823,0,417526,840.6845867310983,25,"Change storage size,Change service memory,Add single environment variable,Remove dependencies,Change build type,Toggle sticky sessions",49665,35,2025-06-28T19:19:32.591Z,"Low",294.74,0.00,407.74
"schema-aggregated",1.41599999999994,0,25043,37.2880094102232,18,"Change max instances,Add start command,Change health check timeout,Change docker context,Change max instances",67161,36,2025-06-28T19:19:32.591Z,"Low",706.21,0.00,24.46
"json-diff-kit",3.7223750000000564,0,564022,839.8058396986347,18,"Change max instances,Add start command,Change health check timeout,Change docker context,Change max instances",67161,36,2025-06-28T19:19:32.591Z,"Low",268.65,0.00,550.80
"schema-aggregated",2.8112500000002,0,6331,4.039508189399402,5,"Change source branch,Change health check path",156727,37,2025-06-28T19:19:32.591Z,"Low",355.71,0.00,6.18
"json-diff-kit",14.901540999999952,7472425,1314767,838.8899168618043,5,"Change source branch,Change health check path",156727,37,2025-06-28T19:19:32.591Z,"Low",67.11,7297.29,1283.95
"schema-aggregated",1.8999579999999696,0,12724,12.49766724617183,15,"Add static site with SPA config,Toggle privileged mode,Change health check path",101811,38,2025-06-28T19:19:32.591Z,"Low",526.33,0.00,12.43
"json-diff-kit",8.789667000000009,924737,927316,910.8210311263026,15,"Add static site with SPA config,Toggle privileged mode,Change health check path",101811,38,2025-06-28T19:19:32.591Z,"Low",113.77,903.06,905.58
"schema-aggregated",0.9974579999998241,0,123084,230.25291828793772,23,"Change dockerfile path,Change service CPU,Add S3 bucket policy,Change environment ID,Add watch paths",53456,39,2025-06-28T19:19:32.591Z,"Low",1002.55,0.00,120.20
"json-diff-kit",3.765833000000157,1318533,448703,839.3875336725531,23,"Change dockerfile path,Change service CPU,Add S3 bucket policy,Change environment ID,Add watch paths",53456,39,2025-06-28T19:19:32.591Z,"Low",265.55,1287.63,438.19
"schema-aggregated",3.998207999999977,0,14100,6.726040270377279,19,"Change target type,Change service CPU,Change service type from web to worker",209633,40,2025-06-28T19:19:32.591Z,"Low",250.11,0.00,13.77
"json-diff-kit",24.209792000000107,11246119,1757772,838.4996636979865,19,"Change target type,Change service CPU,Change service type from web to worker",209633,40,2025-06-28T19:19:32.591Z,"Low",41.31,10982.54,1716.57
"schema-aggregated",1.3677909999998974,0,16864,24.481382013500763,17,"Change max instances,Change storage size,Change min instances,Add watch paths",68885,41,2025-06-28T19:19:32.591Z,"Low",731.11,0.00,16.47
"json-diff-kit",4.836542000000009,2415015,576553,836.9790230093635,17,"Change max instances,Change storage size,Change min instances,Add watch paths",68885,41,2025-06-28T19:19:32.591Z,"Low",206.76,2358.41,563.04
"schema-aggregated",3.068458999999848,0,15475,8.603340152997689,9,"Toggle container insights,Change service memory,Toggle privileged mode",179872,42,2025-06-28T19:19:32.591Z,"Low",325.90,0.00,15.11
"json-diff-kit",18.643583000000035,9568255,1511093,840.0935109411137,9,"Toggle container insights,Change service memory,Toggle privileged mode",179872,42,2025-06-28T19:19:32.591Z,"Low",53.64,9344.00,1475.68
"schema-aggregated",2.782084000000168,0,7924,5.189905751206765,2,"Toggle container insights",152681,43,2025-06-28T19:19:32.591Z,"Low",359.44,0.00,7.74
"json-diff-kit",14.365167000000156,5524508,1287039,842.9595038020448,2,"Toggle container insights",152681,43,2025-06-28T19:19:32.591Z,"Low",69.61,5395.03,1256.87
"schema-aggregated",0.41879199999993943,0,8165,55.1614646669369,8,"Add CI configuration",14802,44,2025-06-28T19:19:32.591Z,"Low",2387.82,0.00,7.97
"json-diff-kit",0.5297080000000278,0,123622,835.1709228482637,8,"Add CI configuration",14802,44,2025-06-28T19:19:32.591Z,"Low",1887.83,0.00,120.72
"schema-aggregated",0.6490420000000086,0,8347,22.364225812501676,8,"Change target type",37323,45,2025-06-28T19:19:32.591Z,"Low",1540.73,0.00,8.15
"json-diff-kit",1.5461250000000746,0,315195,844.5060686439996,8,"Change target type",37323,45,2025-06-28T19:19:32.591Z,"Low",646.78,0.00,307.81
"schema-aggregated",3.9712500000000546,0,27077,11.943820769906,31,"Add experimental features,Change port number,Add start command,Change environment name,Change health check timeout,Add CI configuration,Toggle container insights",226703,46,2025-06-28T19:19:32.591Z,"Low",251.81,0.00,26.44
"json-diff-kit",27.163375000000087,11973197,1905248,840.4158745142323,31,"Add experimental features,Change port number,Add start command,Change environment name,Change health check timeout,Add CI configuration,Toggle container insights",226703,46,2025-06-28T19:19:32.591Z,"Low",36.81,11692.58,1860.59
"schema-aggregated",0.29291699999998855,0,19043,264.2292215901207,28,"Add start command,Add dependency between services,Change service name,Change sticky sessions duration,Toggle inject env variables",7207,47,2025-06-28T19:19:32.591Z,"Low",3413.94,0.00,18.60
"json-diff-kit",0.2612499999997908,0,61999,860.2608574996531,28,"Add start command,Add dependency between services,Change service name,Change sticky sessions duration,Toggle inject env variables",7207,47,2025-06-28T19:19:32.591Z,"Low",3827.75,0.00,60.55
"schema-aggregated",1.3948749999999563,0,9351,12.981009495252374,11,"Change service memory,Add CI configuration",72036,48,2025-06-28T19:19:32.591Z,"Low",716.91,0.00,9.13
"json-diff-kit",5.431457999999793,2108671,604756,839.5191293242268,11,"Change service memory,Add CI configuration",72036,48,2025-06-28T19:19:32.591Z,"Low",184.11,2059.25,590.58
"schema-aggregated",2.6481670000000577,0,9004,6.438833229642659,5,"Change service CPU,Toggle container insights",139839,49,2025-06-28T19:19:32.591Z,"Low",377.62,0.00,8.79
"json-diff-kit",15.077665999999908,4944759,1170765,837.2235213352499,5,"Change service CPU,Toggle container insights",139839,49,2025-06-28T19:19:32.591Z,"Low",66.32,4828.87,1143.33
"schema-aggregated",2.6157499999999345,0,10253,6.816519738854096,22,"Change environment name,Change health check interval,Add static site with SPA config,Change source branch,Modify autoscaling thresholds",150414,50,2025-06-28T19:19:32.591Z,"Low",382.30,0.00,10.01
"json-diff-kit",17.076791000000185,6907756,1372529,912.5008310396639,22,"Change environment name,Change health check interval,Add static site with SPA config,Change source branch,Modify autoscaling thresholds",150414,50,2025-06-28T19:19:32.591Z,"Low",58.56,6745.86,1340.36
"schema-aggregated",2.45049999999992,0,10000,7.0876242992111465,23,"Add static site with SPA config,Add health check grace period,Modify autoscaling thresholds",141091,51,2025-06-28T19:19:32.591Z,"Low",408.08,0.00,9.77
"json-diff-kit",17.273333000000093,8961261,1285065,910.8057920065773,23,"Add static site with SPA config,Add health check grace period,Modify autoscaling thresholds",141091,51,2025-06-28T19:19:32.591Z,"Low",57.89,8751.23,1254.95
"schema-aggregated",0.23491600000011204,0,12250,337.9310344827586,28,"Add CI configuration,Toggle privileged mode,Change service type from web to worker,Add pre/post deploy commands",3625,52,2025-06-28T19:19:32.591Z,"Low",4256.84,0.00,11.96
"json-diff-kit",0.16650000000004184,0,31075,857.2413793103449,28,"Add CI configuration,Toggle privileged mode,Change service type from web to worker,Add pre/post deploy commands",3625,52,2025-06-28T19:19:32.591Z,"Low",6006.01,0.00,30.35
"schema-aggregated",3.566250000000082,0,446593,211.978944170725,38,"Change environment ID,Toggle inject env variables,Toggle inject env variables,Change storage size,Change docker context,Change service memory,Change storage size,Change service CPU",210678,53,2025-06-28T19:19:32.591Z,"Low",280.41,0.00,436.13
"json-diff-kit",27.427832999999964,0,1769757,840.0293338649502,38,"Change environment ID,Toggle inject env variables,Toggle inject env variables,Change storage size,Change docker context,Change service memory,Change storage size,Change service CPU",210678,53,2025-06-28T19:19:32.591Z,"Low",36.46,0.00,1728.28
"schema-aggregated",2,0,19830,20.11809106403701,32,"Remove dependencies,Add single environment variable,Change health check interval,Change service type from web to worker,Change service ID,Remove dependencies",98568,54,2025-06-28T19:19:32.591Z,"Low",500.00,0.00,19.37
"json-diff-kit",7.195666999999958,3161850,827159,839.1760003246488,32,"Remove dependencies,Add single environment variable,Change health check interval,Change service type from web to worker,Change service ID,Remove dependencies",98568,54,2025-06-28T19:19:32.591Z,"Low",138.97,3087.74,807.77
"schema-aggregated",2.3101670000000922,0,305306,202.43876563183792,3,"Change environment ID",150814,55,2025-06-28T19:19:32.591Z,"Low",432.87,0.00,298.15
"json-diff-kit",13.700624999999945,5707368,1266492,839.770843555638,3,"Change environment ID",150814,55,2025-06-28T19:19:32.591Z,"Low",72.99,5573.60,1236.81
"schema-aggregated",0.862957999999935,0,7992,19.025853449507213,11,"Add S3 bucket policy,Change health check path",42006,56,2025-06-28T19:19:32.591Z,"Low",1158.80,0.00,7.80
"json-diff-kit",1.859333000000106,0,351647,837.1351711660238,11,"Add S3 bucket policy,Change health check path",42006,56,2025-06-28T19:19:32.591Z,"Low",537.83,0.00,343.41
"schema-aggregated",2.0375410000001466,0,283139,215.3164662849147,38,"Change health check interval,Change environment ID,Change target type,Add static site with SPA config,Change target type,Change PR source configuration",131499,57,2025-06-28T19:19:32.591Z,"Low",490.79,0.00,276.50
"json-diff-kit",12.51237500000002,4372013,1198223,911.2031270199774,38,"Change health check interval,Change environment ID,Change target type,Add static site with SPA config,Change target type,Change PR source configuration",131499,57,2025-06-28T19:19:32.591Z,"Low",79.92,4269.54,1170.14
"schema-aggregated",2.7218749999999545,0,3362,2.229605607836115,16,"Change source branch,Remove environment variable,Toggle inject env variables",150789,58,2025-06-28T19:19:32.591Z,"Low",367.39,0.00,3.28
"json-diff-kit",13.70791700000018,5896941,1267198,840.3782769300149,16,"Change source branch,Remove environment variable,Toggle inject env variables",150789,58,2025-06-28T19:19:32.591Z,"Low",72.95,5758.73,1237.50
"schema-aggregated",0.28500000000008185,0,8149,88.53759235115167,15,"Remove dependencies,Remove environment variable,Change base path,Change environment name",9204,59,2025-06-28T19:19:32.591Z,"Low",3508.77,0.00,7.96
"json-diff-kit",0.33858299999997143,0,76651,832.8009561060409,15,"Remove dependencies,Remove environment variable,Change base path,Change environment name",9204,59,2025-06-28T19:19:32.591Z,"Low",2953.49,0.00,74.85
"schema-aggregated",2.1809579999999187,0,9892,7.757214554579674,29,"Modify autoscaling thresholds,Change PR source configuration,Change max instances,Toggle inject env variables",127520,60,2025-06-28T19:19:32.591Z,"Low",458.51,0.00,9.66
"json-diff-kit",11.33745799999997,5355262,1069196,838.4535759096613,29,"Modify autoscaling thresholds,Change PR source configuration,Change max instances,Toggle inject env variables",127520,60,2025-06-28T19:19:32.591Z,"Low",88.20,5229.75,1044.14
"schema-aggregated",4.800916999999799,1093305,10955,5.315819354337815,7,"Toggle privileged mode,Change service memory",206083,61,2025-06-28T19:19:32.591Z,"Low",208.29,1067.68,10.70
"json-diff-kit",27.835250000000087,0,1729207,839.0827967372369,7,"Toggle privileged mode,Change service memory",206083,61,2025-06-28T19:19:32.591Z,"Low",35.93,0.00,1688.68
"schema-aggregated",2.141834000000017,0,13938,11.881643891668869,8,"Toggle container insights,Change health check interval,Change service name",117307,62,2025-06-28T19:19:32.591Z,"Low",466.89,0.00,13.61
"json-diff-kit",9.23262499999987,4912490,985324,839.9532849702064,8,"Toggle container insights,Change health check interval,Change service name",117307,62,2025-06-28T19:19:32.591Z,"Low",108.31,4797.35,962.23
"schema-aggregated",2.065207999999984,0,12538,10.841519092418373,18,"Change health check timeout,Add watch paths,Change sticky sessions duration,Remove dependencies",115648,63,2025-06-28T19:19:32.591Z,"Low",484.21,0.00,12.24
"json-diff-kit",9.325958000000128,4355566,972857,841.2225027670171,18,"Change health check timeout,Add watch paths,Change sticky sessions duration,Remove dependencies",115648,63,2025-06-28T19:19:32.591Z,"Low",107.23,4253.48,950.06
"schema-aggregated",4.280292000000145,914960,9238,4.471767069245105,18,"Change min instances,Toggle sticky sessions,Toggle sticky sessions,Add scheduler with job timeout and resource overrides",206585,64,2025-06-28T19:19:32.591Z,"Low",233.63,893.52,9.02
"json-diff-kit",22.36612500000001,10375205,1738081,841.3394002468717,18,"Change min instances,Toggle sticky sessions,Toggle sticky sessions,Add scheduler with job timeout and resource overrides",206585,64,2025-06-28T19:19:32.591Z,"Low",44.71,10132.04,1697.34
"schema-aggregated",2.617665999999872,0,20037,14.586366548249957,35,"Add static site with SPA config,Modify container image source,Add CI configuration,Change sticky sessions duration,Add health check grace period",137368,65,2025-06-28T19:19:32.591Z,"Low",382.02,0.00,19.57
